entity_id,entity_name,plant_id,plant_name,generator_id,county,net_summer_capacity,net_winter_capacity,technology,latitude,longitude
13781,Northern States Power Co - Minnesota,1756,Saxon Falls,1,Iron,0.5,0.5,Conventional Hydroelectric,46.5392,-90.3742
13781,Northern States Power Co - Minnesota,1756,Saxon Falls,2,Iron,0.5,0.6,Conventional Hydroelectric,46.5392,-90.3742
20847,Wisconsin Electric Power Co,1775,Brule,1,Florence,1.3,1.3,Conventional Hydroelectric,45.9472,-88.2189
20847,Wisconsin Electric Power Co,1775,Brule,2,Florence,2,2,Conventional Hydroelectric,45.9472,-88.2189
20847,Wisconsin Electric Power Co,1775,Brule,3,Florence,2,2,Conventional Hydroelectric,45.9472,-88.2189
4247,Consolidated Water Power Co,3971,Biron,1,Wood,1.3,1.3,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,2,Wood,1.3,1.3,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,3,Wood,0.4,0.4,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,4,Wood,0.4,0.4,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,5,Wood,0.4,0.4,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,6,Wood,0.4,0.4,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,7,Wood,0.4,0.4,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3971,Biron,9,Wood,0.8,0.8,Conventional Hydroelectric,44.4306,-89.7808
4247,Consolidated Water Power Co,3972,Du Bay,1,Portage,1.2,1.2,Conventional Hydroelectric,44.6647,-89.6511
4247,Consolidated Water Power Co,3972,Du Bay,2,Portage,2,2,Conventional Hydroelectric,44.6647,-89.6511
4247,Consolidated Water Power Co,3972,Du Bay,3,Portage,2,2,Conventional Hydroelectric,44.6647,-89.6511
4247,Consolidated Water Power Co,3972,Du Bay,4,Portage,2,2,Conventional Hydroelectric,44.6647,-89.6511
4247,Consolidated Water Power Co,3973,Stevens Point,1,Portage,0.8,0.8,Conventional Hydroelectric,44.5153,-89.585
4247,Consolidated Water Power Co,3973,Stevens Point,2,Portage,0.8,0.8,Conventional Hydroelectric,44.5153,-89.585
4247,Consolidated Water Power Co,3973,Stevens Point,3,Portage,0.8,0.8,Conventional Hydroelectric,44.5153,-89.585
4247,Consolidated Water Power Co,3973,Stevens Point,4,Portage,0.8,0.8,Conventional Hydroelectric,44.5153,-89.585
4247,Consolidated Water Power Co,3973,Stevens Point,5,Portage,0.8,0.8,Conventional Hydroelectric,44.5153,-89.585
4247,Consolidated Water Power Co,3973,Stevens Point,6,Portage,0.8,0.8,Conventional Hydroelectric,44.5153,-89.585
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,1,Wood,2.3,2.3,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,10,Wood,0.6,0.6,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,2,Wood,2.3,2.3,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,3,Wood,0.6,0.6,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,4,Wood,0.6,0.6,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,5,Wood,0.6,0.6,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,6,Wood,0.3,0.3,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,7,Wood,0.6,0.6,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,8,Wood,0.3,0.3,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3974,Wisconsin Rapids,9,Wood,0.6,0.6,Conventional Hydroelectric,44.3939,-89.825
4247,Consolidated Water Power Co,3975,Whiting,1,Portage,1.2,1.2,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,10,Portage,0.3,0.3,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,2,Portage,0.5,0.5,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,3,Portage,0.5,0.5,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,4,Portage,0.5,0.5,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,5,Portage,0.5,0.5,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,6,Portage,0.5,0.5,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,7,Portage,0.5,0.5,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,8,Portage,0.3,0.3,Conventional Hydroelectric,44.4889,-89.5756
4247,Consolidated Water Power Co,3975,Whiting,9,Portage,0.3,0.3,Conventional Hydroelectric,44.4889,-89.5756
4715,Dahlberg Light & Power Co,3976,Gordon,3,Douglas,0.7,0.7,Petroleum Liquids,46.23669,-91.78553
4715,Dahlberg Light & Power Co,3976,Gordon,4,Douglas,0.7,0.7,Petroleum Liquids,46.23669,-91.78553
4715,Dahlberg Light & Power Co,3976,Gordon,5,Douglas,0.7,0.7,Petroleum Liquids,46.23669,-91.78553
4715,Dahlberg Light & Power Co,3976,Gordon,6,Douglas,0.7,0.7,Petroleum Liquids,46.23669,-91.78553
13781,Northern States Power Co - Minnesota,3982,Bay Front,5,Ashland,18,18,Wood/Wood Waste Biomass,46.587222,-90.9017
13781,Northern States Power Co - Minnesota,3982,Bay Front,6,Ashland,23,23,Natural Gas Steam Turbine,46.587222,-90.9017
13781,Northern States Power Co - Minnesota,3983,Big Falls,1,Rusk,1.1,1,Conventional Hydroelectric,45.491667,-91.0469
13781,Northern States Power Co - Minnesota,3983,Big Falls,2,Rusk,1.1,1,Conventional Hydroelectric,45.491667,-91.0469
13781,Northern States Power Co - Minnesota,3983,Big Falls,3,Rusk,1.1,1,Conventional Hydroelectric,45.491667,-91.0469
13781,Northern States Power Co - Minnesota,3986,Ladysmith Dam,1,Rusk,0.3,0.3,Conventional Hydroelectric,45.464444,-91.08361
13781,Northern States Power Co - Minnesota,3986,Ladysmith Dam,2,Rusk,0.3,0.2,Conventional Hydroelectric,45.464444,-91.08361
13781,Northern States Power Co - Minnesota,3986,Ladysmith Dam,3,Rusk,0.4,0.3,Conventional Hydroelectric,45.464444,-91.08361
13781,Northern States Power Co - Minnesota,3988,Thornapple,1,Rusk,0.4,0.4,Conventional Hydroelectric,45.411139,-91.21828
13781,Northern States Power Co - Minnesota,3988,Thornapple,2,Rusk,0.4,0.4,Conventional Hydroelectric,45.411139,-91.21828
13781,Northern States Power Co - Minnesota,3989,White River (WI),1,Ashland,0.2,0.2,Conventional Hydroelectric,46.498333,-90.90389
13781,Northern States Power Co - Minnesota,3989,White River (WI),2,Ashland,0.2,0.2,Conventional Hydroelectric,46.498333,-90.90389
